Date,Open,High,Low,Close,Adj Close,Volume
2013-07-01,41.830002,41.970001,39.139999,39.900002,31.376968,7962800
2013-07-08,39.919998,43.400002,39.799999,42.160000,33.154213,15413800
2013-07-15,42.700001,45.000000,42.130001,44.349998,34.876404,14420500
2013-07-22,44.220001,46.419998,44.130001,45.400002,35.702118,15549000
2013-07-29,45.130001,46.459999,44.610001,46.200001,36.331223,12729000
2013-08-05,46.689999,50.349998,45.500000,49.810001,39.170101,21823300
2013-08-12,49.509998,50.540001,47.939999,48.369999,38.037693,16300500
2013-08-19,48.009998,48.230000,46.349998,47.680000,38.134941,11243000
2013-08-26,47.700001,47.790001,45.000000,45.110001,36.079430,10068100
2013-09-02,47.939999,48.779999,47.410000,48.110001,38.478863,7831700
2013-09-09,49.160000,51.200001,49.099998,49.990002,39.982498,17775800
2013-09-16,50.790001,51.939999,49.270000,49.360001,39.478615,14062700
2013-09-23,49.630001,50.689999,49.090000,49.480000,39.574600,14146600
2013-09-30,48.290001,49.250000,48.009998,48.590000,38.862770,10209900
2013-10-07,47.610001,49.500000,46.860001,49.279999,39.414635,11799800
2013-10-14,49.360001,52.320000,49.290001,51.869999,41.486145,13917800
2013-10-21,52.410000,53.389999,51.639999,52.259998,41.798069,9456200
2013-10-28,51.410000,51.889999,50.430000,51.169998,40.926273,10323400
2013-11-04,52.160000,53.889999,51.939999,53.169998,42.525898,15553500
2013-11-11,52.360001,52.580002,50.669998,52.500000,41.990028,19456200
2013-11-18,52.689999,53.610001,51.529999,51.730000,41.374168,9234600
2013-11-25,51.360001,53.790001,50.090000,53.049999,42.429916,7580200
2013-12-02,53.009998,54.169998,52.110001,53.840000,43.061768,10570600
2013-12-09,53.419998,54.040001,51.560001,51.779999,41.414162,9813600
2013-12-16,52.290001,54.250000,52.290001,53.830002,43.053776,13227100
2013-12-23,53.980000,55.959999,53.880001,55.630001,44.493431,4257300
2013-12-30,56.000000,56.709999,55.009998,55.110001,44.077530,5609100
2014-01-06,54.230000,54.250000,51.049999,51.939999,41.542126,12508800
2014-01-13,51.799999,55.810001,51.369999,55.040001,44.021538,12990400
2014-01-20,53.549999,54.040001,51.119999,51.180000,40.934269,11546500
2014-01-27,52.360001,54.070000,51.349998,53.150002,42.509903,18351200
2014-02-03,53.270000,56.200001,51.720001,56.169998,44.925323,14025500
2014-02-10,55.720001,58.950001,55.299999,58.900002,47.108810,19781100
2014-02-17,59.650002,60.610001,59.169998,59.689999,47.740662,11153500
2014-02-24,58.660000,59.060001,56.470001,57.299999,45.829113,15497800
2014-03-03,55.740002,56.610001,52.810001,53.389999,42.701851,15519300
2014-03-10,52.119999,53.720001,51.580002,52.110001,42.504139,23950300
2014-03-17,53.130001,53.500000,51.200001,52.650002,42.944595,12116700
2014-03-24,53.320000,55.250000,52.369999,54.740002,44.649334,15815700
2014-03-31,55.810001,56.549999,54.709999,55.299999,45.106098,14603400
2014-04-07,55.590000,57.790001,55.139999,55.709999,45.440521,13589700
2014-04-14,56.400002,57.060001,54.580002,55.259998,45.073471,11297400
2014-04-21,55.310001,55.340000,54.349998,55.060001,44.910343,10256500
