Date,Open,High,Low,Close,Adj Close,Volume
2013-07-01,58.049999,58.470001,55.660000,56.320000,46.006443,7360300
2013-07-08,56.520000,61.910000,56.330002,60.680000,49.568024,12113500
2013-07-15,61.110001,64.360001,60.790001,62.599998,51.136425,8161600
2013-07-22,63.299999,64.989998,62.650002,64.290001,52.516945,9821900
2013-07-29,63.790001,64.309998,62.490002,63.480000,51.855274,7918300
2013-08-05,63.650002,68.070000,62.660000,67.680000,55.286156,11958800
2013-08-12,66.989998,68.480003,66.970001,67.540001,55.171795,8831900
2013-08-19,67.300003,67.449997,63.410000,64.550003,52.729340,11530800
2013-08-26,64.389999,64.830002,62.599998,63.279999,51.691898,8125400
2013-09-02,66.040001,66.150002,63.910000,64.930000,53.039745,5079200
2013-09-09,65.370003,67.900002,65.300003,66.580002,55.384602,6465500
2013-09-16,67.879997,70.169998,66.980003,67.370003,56.041763,8227700
2013-09-23,67.800003,68.639999,66.730003,67.150002,55.858749,6324600
2013-09-30,66.230003,67.019997,65.650002,66.510002,55.326374,5928300
2013-10-07,65.279999,67.349998,64.669998,67.150002,55.858749,6974100
2013-10-14,66.739998,69.709999,66.709999,69.599998,57.896786,7947800
2013-10-21,70.000000,72.910004,69.760002,71.930000,59.834999,7077300
2013-10-28,71.830002,72.279999,70.160004,70.959999,59.028107,5558300
2013-11-04,71.699997,72.959999,70.940002,71.860001,59.776775,5748800
2013-11-11,71.169998,71.550003,69.139999,71.370003,59.369164,5904300
2013-11-18,71.510002,71.849998,68.769997,69.040001,57.430946,5904300
2013-11-25,69.059998,69.199997,67.730003,68.220001,56.748829,4372700
2013-12-02,67.239998,67.830002,66.019997,67.529999,56.174854,8300800
2013-12-09,66.809998,67.480003,63.619999,63.740002,53.022133,8542600
2013-12-16,64.809998,66.160004,63.660000,65.989998,54.893799,10959900
2013-12-23,66.480003,67.639999,66.160004,67.410004,56.075035,4548800
2013-12-30,67.470001,68.199997,66.879997,67.519997,56.166531,4156600
2014-01-06,67.250000,67.250000,64.790001,65.800003,54.735752,6984600
