"","PDS.원자재.지수.fcst","PDS.원자재.지수.lower","PDS.원자재.지수.upper","PDS.원자재.지수.CI"
"1",122.864107539332,121.029149067478,124.699066011187,1.83495847185449
"2",122.554327689993,118.541864403015,126.566790976971,4.01246328697834
"3",121.557650709939,115.964790101453,127.150511318425,5.59286060848565
"4",120.363306488949,113.614457036607,127.112155941291,6.74884945234204
"5",119.392799710931,111.680993325865,127.104606095997,7.71180638506639
"6",118.806942022996,110.237010359458,127.376873686534,8.56993166353818
"7",118.532279794046,109.175063941307,127.889495646784,9.35721585273847
"8",118.459661616699,108.385548449717,128.533774783682,10.0741131669823
"9",118.513384641873,107.793529990847,129.233239292898,10.7198546510256
"10",118.662032059604,107.362624482504,129.961439636704,11.2994075770997
