"","VALE_close.fcst","VALE_close.lower","VALE_close.upper","VALE_close.CI"
"1",12.6683137053555,11.7150784767411,13.62154893397,0.953235228614461
"2",12.6660276561401,11.3548129188235,13.9772423934568,1.31121473731665
"3",12.715778235507,11.151651353545,14.2799051174689,1.56412688196196
"4",12.8328083892228,11.0758152305825,14.5898015478631,1.75699315864032
"5",12.9807311987858,11.0609360089177,14.9005263886539,1.91979518986808
"6",13.1353659315981,11.075198920213,15.1955329429832,2.0601670113851
"7",13.2817597623733,11.1012301419831,15.4622893827635,2.18052962039023
"8",13.4162163899655,11.1323476666636,15.7000851132673,2.28386872330187
"9",13.5415416257655,11.1682381089446,15.9148451425865,2.37330351682094
"10",13.6609170349894,11.2091882759819,16.1126457939968,2.45172875900744
