"","BHP_close.fcst","BHP_close.lower","BHP_close.upper","BHP_close.CI"
"1",49.7273282165004,46.1708904177579,53.283766015243,3.55643779874254
"2",49.6468065023096,44.8476557074563,54.4459572971629,4.79915079485329
"3",49.3248552309995,43.5977126490149,55.0519978129842,5.72714258198466
"4",49.0621060276749,42.6153591717512,55.5088528835986,6.44674685592368
"5",48.8907318627298,41.8460826165408,55.9353811089187,7.04464924618894
"6",48.8006047896624,41.2347513971325,56.3664581821924,7.56585339252994
"7",48.7661950338651,40.7459477200064,56.7864423477238,8.0202473138587
"8",48.763705669896,40.34449230259,57.1829190372019,8.41921336730595
"9",48.787852536549,40.0149160866246,57.5607889864735,8.77293644992445
"10",48.8399016163911,39.7494303353031,57.9303728974791,9.09047128108801
