"","연.fcst","연.lower","연.upper","연.CI"
"1",596.793328890009,512.222329934515,681.364327845502,84.5709989554938
"2",573.304683402201,462.629879013308,683.979487791094,110.674804388893
"3",563.712747440517,444.642444631343,682.783050249691,119.070302809174
"4",563.823314106444,441.8186522917,685.827975921188,122.004661814744
"5",568.202351454651,444.659844836646,691.744858072656,123.542506618005
"6",573.255022279237,448.574588347184,697.93545621129,124.680433932053
"7",578.184035181217,452.583029517951,703.785040844482,125.601005663265
"8",583.007540661029,456.644836553092,709.370244768966,126.362704107937
"9",587.842419878045,460.826819250705,714.858020505386,127.015600627341
"10",592.56835532414,464.962220638075,720.174490010205,127.606134686065
