"","AUD.USD..호주.달러...미국.달러..fcst","AUD.USD..호주.달러...미국.달러..lower","AUD.USD..호주.달러...미국.달러..upper","AUD.USD..호주.달러...미국.달러..CI"
"1",0.733879191752898,0.717935186744875,0.749823196760922,0.0159440050080235
"2",0.736293863317751,0.711789396929607,0.760798329705896,0.0245044663881446
"3",0.741096237841718,0.71180623086917,0.770386244814266,0.029290006972548
"4",0.745326017234307,0.712788662016888,0.777863372451725,0.0325373552174185
"5",0.748997999148896,0.714128974397587,0.783867023900204,0.0348690247513081
"6",0.752197874610411,0.715549579738914,0.788846169481908,0.0366482948714969
"7",0.755078034951335,0.717056526093541,0.793099543809129,0.0380215088577941
"8",0.757659596857432,0.718567812342901,0.796751381371964,0.0390917845145315
"9",0.759931995905571,0.719985673581685,0.799878318229458,0.0399463223238866
"10",0.761906554386286,0.721254275860729,0.802558832911843,0.0406522785255569
