"","선재..SHFE..2018.10RMB.ton.fcst","선재..SHFE..2018.10RMB.ton.lower","선재..SHFE..2018.10RMB.ton.upper","선재..SHFE..2018.10RMB.ton.CI"
"1",4044.42846950406,3867.3991742459,4221.45776476222,177.029295258158
"2",3960.56418675859,3690.71610534313,4230.41226817405,269.84808141546
"3",3876.04767452361,3546.78052632569,4205.31482272154,329.267148197922
"4",3822.49896748464,3450.52745502246,4194.47047994682,371.97151246218
"5",3797.73004048306,3390.14159182279,4205.31848914333,407.588448660268
"6",3787.00823887601,3349.08895546388,4224.92752228813,437.919283412126
"7",3778.27369464141,3315.08373078237,4241.46365850045,463.189963859043
"8",3767.62456685305,3283.52650513369,4251.72262857241,484.098061719356
"9",3756.8824207296,3255.3701755219,4258.3946659373,501.512245207696
"10",3749.15374916041,3232.95643042157,4265.35106789926,516.197318738848
