"","Ã¶±¤¼®_°¡°Ý.fcst","Ã¶±¤¼®_°¡°Ý.lower","Ã¶±¤¼®_°¡°Ý.upper","Ã¶±¤¼®_°¡°Ý.CI"
"1",63.9072504424867,59.4444239463485,68.370076938625,4.46282649613826
"2",63.2370617296688,55.9929556956863,70.4811677636513,7.24410603398253
"3",63.5550885425096,54.4379646986333,72.672212386386,9.11712384387635
"4",64.3950751737321,53.9015305778388,74.8886197696253,10.4935445958933
"5",65.4731002471979,53.9004606481145,77.0457398462812,11.5726395990834
"6",66.5326835247405,54.0824007597339,78.9829662897471,12.4502827650066
"7",67.4578846400623,54.2823018595637,80.6334674205609,13.1755827804986
"8",68.2286802211059,54.4478839779716,82.0094764642402,13.7807962431343
"9",68.8696976113519,54.5785542217629,83.1608410009408,14.291143389589
"10",69.4098891049847,54.6832409407123,84.1365372692572,14.7266481642724
