"","날짜","철광석_가격","미국_수입량","알루미늄","전기동","연","아연","주석","니켈","BHP_close","RIO_close","VALE_close","PDS.원자재.지수","USD.CNY..미국.달러...중국.인민폐.","USD.BRL..미국.달러...브라질.레알.","AUD.USD..호주.달러...미국.달러.","inventory.index"
"102","2016-12-12","81.83","624145.2","433.25","1388.625","551.25","655.125","5315.125","2769.5","36.4","38.76","8.17","101.39","6.92","3.36","0.74","112.99"
"103","2016-12-19","78.86","599761.8","432.25","1444.375","564.25","680.875","5332.875","2737","35.41","38.12","7.71","101.33","6.95","3.32","0.72","111.65"
"104","2016-12-26","79.85","575378.2","431.25","1500.125","577.25","706.625","5350.625","2704.5","35.78","38.46","7.62","102.72","6.95","3.27","0.72","114.39"
"105","2017-01-02","77.59","468519","334.2","1119","445","526.2","4368.4","2408.4","36.96","38.39","7.99","103.02","6.93","3.24","0.73","117.32"
"106","2017-01-09","79.82","489562.8","346.2","1133.2","446.2","534.4","4259.2","2202.6","39.84","42.04","9.58","104.21","6.92","3.2","0.74","118.99"
"107","2017-01-16","81.73","510606.6","358.2","1147.4","447.4","542.6","4150","1996.8","39.93","42.93","10.03","105.26","6.87","3.21","0.75","119.51"
"108","2017-01-23","82.6","531650.4","370.2","1161.6","448.6","550.8","4040.8","1791","41.24","45.35","10.67","105.98","6.87","3.16","0.76",NA
"109","2017-01-30","83.05","552694.2","382.2","1175.8","449.8","559","3931.6","1585.2","39.39","42.67","9.73","106.86","6.88","3.13","0.76",NA
"110","2017-02-06","83.58","648730.2","439.5","1408.625","548.625","661.375","5344.75","2416.5","40.09","45.41","10.46","107.25","6.87","3.12","0.76","128.2"
"111","2017-02-13","91.08","627786.2","456","1459.875","569.875","695.125","5030.25","2575.5","40.28","45.5","10.97","106.95","6.87","3.09","0.77","129.31"
"112","2017-02-20","92.67","606842.2","472.5","1511.125","591.125","728.875","4715.75","2734.5","37.97","41.69","10.52","106.01","6.87","3.08","0.77","130.81"
"113","2017-02-27","91.71","585898.2","489","1562.375","612.375","762.625","4401.25","2893.5","39.06","41.79","10.18","105.54","6.88","3.11","0.76","131.66"
"114","2017-03-06","88.05","538264.8","458.625","1500.5","586.125","720.25","4830.5","2703.75","35.64","39.39","9.47","104.2","6.91","3.15","0.75","131.29"
"115","2017-03-13","90.46","696363.8","469.875","1470.5","574.875","703.75","4915.5","2606.25","38.18","43.03","10.13","100.99","6.91","3.13","0.76","131.82"
"116","2017-03-20","87.1","854462.8","481.125","1440.5","563.625","687.25","5000.5","2508.75","36.51","40.84","9.3","101.11","6.89","3.1","0.77","133.63"
"117","2017-03-27","81.6","1012562","492.375","1410.5","552.375","670.75","5085.5","2411.25","36.32","40.68","9.5","100.4","6.88","3.13","0.76","134.56"
"118","2017-04-03","79.34","783124.2","471.875","1471","575","714.125","4938.125","2627.625","36.97","40.61","9.23","102.06","6.89","3.12","0.76","133.74"
"119","2017-04-10","71.45","767702.2","479.125","1440","563.5","676.875","4977.875","2487.375","36.09","38.94","8.72","103.22","6.89","3.14","0.75","132.36"
"120","2017-04-17","65.53","752280.2","486.375","1409","552","639.625","5017.625","2347.125","35.76","39.53","8.87","102.29","6.88","3.13","0.75","131.35"
"121","2017-04-24","66.89","736858.2","493.625","1378","540.5","602.375","5057.375","2206.875","35.6","39.82","8.58","99.66","6.89","3.16","0.75","133.33"
"122","2017-05-01","66.08","587002.8","389.6","1160.8","466","535.2","3950.2","2036.8","34.49","38.9","8.17","98.4","6.9","3.17","0.75","136.06"
"123","2017-05-08","60.67","607993","386.2","1139.6","446.2","526.6","3998.2","1933.8","35.2","38.69","8.26","96.12","6.9","3.16","0.74","137.93"
"124","2017-05-15","61.69","628983.2","382.8","1118.4","426.4","518","4046.2","1830.8","36.71","41.38","8.42","96.97","6.89","3.19","0.74","139.42"
"125","2017-05-22","60.77","649973.4","379.4","1097.2","406.6","509.4","4094.2","1727.8","35.84","40.98","8.53","98.67","6.88","3.27","0.75","140.27"
"126","2017-05-29","57.56","670963.6","376","1076","386.8","500.8","4142.2","1624.8","35.47","40.8","8.21","96.7","6.83","3.25","0.74","140.14"
"127","2017-06-05","55.63","734467.9","481.875","1384.625","533.125","649.75","5123.875","2316.375","35.39","41.73","8.31","94.87","6.8","3.28","0.75","144.11"
"128","2017-06-12","54.73","837990.1","475.125","1411.375","532.875","645.25","4991.625","2260.625","34.7","39.3","7.88","93.95","6.8","3.3","0.76","142.36"
"129","2017-06-19","56.57","941512.4","468.375","1438.125","532.625","640.75","4859.375","2204.875","34.16","39.17","8.17","92.96","6.83","3.33","0.76","145.39"
"130","2017-06-26","62.25","1045035","461.625","1464.875","532.375","636.25","4727.125","2149.125","35.59","42.31","8.75","93.04","6.8","3.3","0.76","144.13"
"131","2017-07-03","63.11","791739","374","1083.8","399.2","471.8","3826.2","1676","37.22","43.5","8.77","95","6.8","3.3","0.76","142.29"
"132","2017-07-10","65.03","711801","377.4","1139.8","426.2","514.4","3940.4","1786.2","39.4","45.17","9.25","94.34","6.79","3.22","0.77","142.87"
"133","2017-07-17","68.22","631863","380.8","1195.8","453.2","557","4054.6","1896.4","38.79","44.14","9.02","95.92","6.76","3.15","0.79","143.2"
"134","2017-07-24","69.34","551925","384.2","1251.8","480.2","599.6","4168.8","2006.6","41.14","46.61","9.67","97.32","6.75","3.15","0.8","142.31"
"135","2017-07-31","73.42","471987","387.6","1307.8","507.2","642.2","4283","2116.8","41.21","46.83","9.97","99.13","6.72","3.12","0.8","140.37"
"136","2017-08-07","75.88","802090","460.25","1432.375","555.125","671.625","5031.125","2199.125","40.35","44.61","9.69","100.25","6.68","3.16","0.79","138.34"
"137","2017-08-14","74.94","777567.5","491.75","1557.125","577.875","720.875","5105.375","2541.875","40.4","44.64","10.03","100.27","6.68","3.17","0.79","136.35"
"138","2017-08-21","78.59","753045","523.25","1681.875","600.625","770.125","5179.625","2884.625","42.56","47.69","10.68","101.63","6.66","3.16","0.79","134.73"
"139","2017-08-28","77.13","728522.5","554.75","1806.625","623.375","819.375","5253.875","3227.375","44.16","49.53","11.3","102.72","6.59","3.16","0.79","134.19"
"140","2017-09-04","76.61","797990.2","498.75","1606.375","586.75","728.25","5106.875","2665.625","42.99","48.27","11.11","104.58","6.51","3.11","0.8","133.9"
"141","2017-09-11","74.71","732622.2","516.25","1632.625","591.75","762.75","5178.125","2760.875","41.82","47.63","10.85","106.46","6.54","3.12","0.8","132.61"
"142","2017-09-18","67.98","667254.2","533.75","1658.875","596.75","797.25","5249.375","2856.125","41.68","47.82","10.16","106.73","6.58","3.13","0.8","131.74"
"143","2017-09-25","63.42","601886.2","551.25","1685.125","601.75","831.75","5320.625","2951.375","40.53","47.19","10.07","107.84","6.64","3.17","0.79","133.57"
"144","2017-10-02","61.97","548693","414","1273.8","449.6","593.2","4248.2","2228.6","41.34","49.08","10.13","107.24","6.65","3.15","0.78",NA
"145","2017-10-09","61.19","559950.6","420","1316.6","475.4","624","4171","2246.8","42.2","50.01","10.45","106.94","6.59","3.17","0.78","131.47"
"146","2017-10-16","62.25","571208.2","426","1359.4","501.2","654.8","4093.8","2265","41.27","48.37","10.28","107.77","6.61","3.17","0.78","131.78"
"147","2017-10-23","61.64","582465.8","432","1402.2","527","685.6","4016.6","2283.2","40.66","47.45","10.01","108.14","6.64","3.25","0.77","135.94"
"148","2017-10-30","59.26","593723.4","438","1445","552.8","716.4","3939.4","2301.4","42.15","49.24","10.09","109.59","6.63","3.28","0.77","137.42"
"149","2017-11-06","62.64","757830.5","536.125","1695.625","631.75","823.25","5229","2747.75","42.78","49.51","10.07","111.69","6.64","3.26","0.77","138.42"
"150","2017-11-13","62.28","670190","528.875","1702.875","621.25","813.75","5005.5","2914.75","41.38","47.59","10.11","111.87","6.63","3.29","0.76","138.15"
"151","2017-11-20","65.35","582549.5","521.625","1710.125","610.75","804.25","4782","3081.75","42.71","49.43","10.98","110.92","6.61","3.24","0.76","139.85"
"152","2017-11-27","68.24","494909","514.375","1717.375","600.25","794.75","4558.5","3248.75","41.96","48.3","10.9","112.09","6.61","3.24","0.76","141.36"
"153","2017-12-04","69.77","661696.4","529","1709.625","610.375","814.5","4910.625","3071.25","41.06","47.17","10.78","110.98","6.62","3.26","0.76","142.18"
"154","2017-12-11","70.47","591043.1","521.5","1703.375","621.625","803.5","4876.875","2925.25","43.08","49.12","11.17","111.36","6.62","3.31","0.76","143.39"
"155","2017-12-18","74.02","520389.9","514","1697.125","632.875","792.5","4843.125","2779.25","45","51.09","11.92","112.61","6.59","3.31","0.77","145.37"
"156","2017-12-25","73.77","449736.6","506.5","1690.875","644.125","781.5","4809.375","2633.25","45.99","52.93","12.23","114.3","6.54","3.32","0.78","146.55"
"157","2018-01-01","75.49","366775","385.4","1304.4","485.6","587.4","3633.8","1987.6","48.14","54.54","13.09","116.09","6.5","3.25","0.78","149.23"
"158","2018-01-08","78.33","444573.2","414.2","1360.2","501.8","638.4","3888","2281.8","50.69","57.67","13.53","117.45","6.5","3.23","0.79","151.97"
"159","2018-01-15","75.69","522371.4","443","1416","518","689.4","4142.2","2576","49.65","56.05","13.36","118.63","6.43","3.21","0.8","153.61"
"160","2018-01-22","75.47","600169.6","471.8","1471.8","534.2","740.4","4396.4","2870.2","50","56.31","13.11","119.94","6.36","3.18","0.8","151.82"
"161","2018-01-29","73.5","677967.8","500.6","1527.6","550.4","791.4","4650.6","3164.4","47.83","54.33","12.54","120.29","6.31","3.18","0.8","151.43"
"162","2018-02-05","76.54","698449","557.5","1779.75","648.625","850.125","5054.875","3132.875","45.76","53.72","12.91","117.75","6.29","3.27","0.78","152.38"
"163","2018-02-12","77.61","607479.5","550","1760.25","646.375","873.375","5300.625","3307.125","48.69","57.82","14.12","113.67","6.34","3.25","0.79",NA
"164","2018-02-19","78.51","516510","542.5","1740.75","644.125","896.625","5546.375","3481.375","48.3","57.07","14.2","115.42","6.34","3.25","0.79",NA
"165","2018-02-26","79.13","425540.5","535","1721.25","641.875","919.875","5792.125","3655.625","45.43","51.48","13.39","116.03","6.33","3.25","0.78","159.56"
"166","2018-03-05","74.45","465073.6","559.75","1776.25","668.25","917.5","5483.5","3415.875","45.28","52.07","12.89","114.86","6.33","3.24","0.78","158.32"
"167","2018-03-12","70.66","658915.9","532.75","1724.75","622.25","852.5","5363.5","3372.625","45.42","52.58","12.8","114.15","6.32","3.27","0.78","159.73"
"168","2018-03-19","66.68","852758.1","505.75","1673.25","576.25","787.5","5243.5","3329.375","44","50.51","12.51","114.81","6.33","3.3","0.77","161.35"
"169","2018-03-26","64.21","1046600","478.75","1621.75","530.25","722.5","5123.5","3286.125","44.43","51.53","12.72","115.95","6.28","3.31","0.77","162.82"
"170","2018-04-02","64.05","528226.2","381.6","1350.6","487.4","673.8","4217.6","2574.6","43.64","50.55","12.66","115.63","6.3","3.34","0.77","161.16"
"171","2018-04-09","64.69","604669.6","415.4","1359.2","479.4","656","4242.8","2680.8","46.8","54.26","13.12","116.51","6.28","3.41","0.77","160.43"
"172","2018-04-16","65.97","681113","449.2","1367.8","471.4","638.2","4268","2787","47.7","56.6","14","119.17","6.28","3.4","0.77","159.83"
"173","2018-04-23","66.5","757556.4","483","1376.4","463.4","620.4","4293.2","2893.2","46.53","55.14","13.95","119.83","6.32","3.47","0.76","159.08"
