Date,Open,High,Low,Close,Adj Close,Volume
2013-07-01,13.170000,13.440000,12.390000,12.630000,10.804335,77848600
2013-07-08,12.760000,13.560000,12.560000,13.290000,11.368931,79724900
2013-07-15,13.320000,14.570000,13.310000,13.820000,11.822321,91020900
2013-07-22,13.910000,14.530000,13.900000,14.390000,12.309927,69019600
2013-07-29,14.310000,14.340000,13.550000,13.750000,11.762439,71876200
2013-08-05,13.710000,15.620000,13.560000,15.510000,13.268032,112279600
2013-08-12,15.580000,15.890000,15.290000,15.370000,13.148268,113215200
2013-08-19,15.490000,15.530000,14.320000,15.370000,13.148268,94805200
2013-08-26,15.440000,15.500000,14.210000,14.410000,12.327037,86689100
2013-09-02,14.890000,15.880000,14.790000,15.620000,13.362129,71134200
2013-09-09,15.820000,16.889999,15.810000,16.040001,13.721421,121094900
2013-09-16,16.400000,16.799999,15.950000,16.180000,13.841184,77017600
2013-09-23,16.230000,16.590000,15.560000,15.600000,13.345021,78821900
2013-09-30,15.450000,15.860000,15.250000,15.610000,13.353576,78355800
2013-10-07,15.410000,15.650000,14.900000,15.510000,13.268032,79934200
2013-10-14,15.360000,16.820000,15.330000,16.110001,13.781303,94235100
2013-10-21,16.340000,16.780001,15.840000,16.080000,13.800685,78505200
2013-10-28,16.059999,16.480000,15.840000,16.379999,14.058160,74336600
2013-11-04,16.770000,17.139999,15.760000,15.980000,13.714859,116484900
2013-11-11,16.010000,16.090000,15.000000,15.770000,13.534627,116352700
2013-11-18,16.000000,16.160000,15.170000,15.460000,13.268569,82759800
2013-11-25,15.510000,15.570000,14.680000,15.320000,13.148415,59586300
2013-12-02,15.180000,15.510000,14.750000,15.250000,13.088336,72951300
2013-12-09,15.370000,15.580000,14.640000,14.670000,12.590549,65712700
2013-12-16,14.850000,15.000000,14.400000,14.430000,12.384569,73780500
2013-12-23,14.520000,15.230000,14.460000,15.230000,13.071170,48016900
2013-12-30,15.260000,15.370000,14.220000,14.330000,12.298745,76656900
2014-01-06,14.200000,14.440000,13.410000,13.720000,11.775211,91852600
2014-01-13,13.750000,14.140000,13.450000,13.790000,11.835287,78792700
2014-01-20,13.400000,13.550000,12.820000,12.900000,11.071445,111593900
2014-01-27,12.900000,13.790000,12.690000,13.600000,11.672222,109094800
2014-02-03,13.500000,14.550000,13.170000,14.380000,12.341657,124638000
2014-02-10,14.250000,14.770000,13.850000,14.660000,12.581969,99558900
2014-02-17,14.570000,14.850000,14.350000,14.730000,12.642045,83205200
2014-02-24,14.680000,14.720000,13.720000,14.170000,12.161425,107193400
2014-03-03,13.950000,14.110000,13.000000,13.040000,11.191600,121992700
2014-03-10,12.820000,13.040000,12.290000,12.490000,10.719563,122992800
2014-03-17,12.710000,13.250000,12.420000,13.040000,11.191600,97123100
2014-03-24,13.110000,13.860000,12.970000,13.680000,11.740883,93984000
2014-03-31,13.840000,14.800000,13.670000,14.480000,12.427483,108812900
2014-04-07,14.520000,15.590000,14.520000,14.760000,12.667792,141947700
2014-04-14,14.900000,15.000000,13.500000,14.100000,12.101348,76222100
2014-04-21,14.240000,14.240000,13.420000,13.510000,11.921948,81516900
2014-04-28,13.220000,13.660000,12.970000,13.570000,11.974896,101506800
2014-05-05,13.540000,13.650000,13.210000,13.230000,11.674859,85703600
2014-05-12,13.530000,14.240000,13.500000,13.730000,12.116086,93942700
2014-05-19,13.510000,13.530000,12.940000,13.180000,11.630739,75794600
2014-05-26,13.260000,13.300000,12.610000,12.750000,11.251285,76369900
2014-06-02,12.770000,13.200000,12.610000,13.090000,11.551318,84594200
2014-06-09,13.140000,13.410000,12.630000,12.810000,11.304232,88743700
2014-06-16,12.840000,13.070000,12.550000,12.860000,11.348354,91341800
2014-06-23,13.090000,13.490000,12.870000,13.290000,11.727809,75584000
2014-06-30,13.190000,14.070000,13.080000,14.030000,12.380824,60357900
2014-07-07,13.960000,14.040000,13.650000,13.860000,12.230807,75839400
2014-07-14,13.990000,14.450000,13.890000,14.080000,12.424947,93177900
2014-07-21,14.120000,14.660000,13.980000,14.560000,12.848525,74420500
2014-07-28,14.620000,14.930000,13.950000,14.010000,12.363175,95192100
2014-08-04,14.090000,14.200000,13.670000,13.830000,12.204333,59113000
2014-08-11,14.050000,14.170000,13.300000,13.710000,12.098438,90614800
2014-08-18,13.810000,14.120000,13.590000,13.740000,12.124912,70762700
2014-08-25,13.780000,13.810000,12.880000,13.060000,11.524844,115037700
2014-09-01,13.000000,13.200000,12.230000,12.680000,11.189512,117809900
2014-09-08,12.520000,12.720000,12.100000,12.300000,10.854179,130206200
2014-09-15,12.360000,12.730000,11.950000,12.000000,10.589442,106401300
2014-09-22,11.560000,11.670000,11.120000,11.190000,9.874656,166356900
2014-09-29,10.760000,11.220000,10.610000,11.020000,9.724639,157332900
2014-10-06,11.480000,11.610000,10.860000,10.900000,9.618745,135890000
2014-10-13,11.390000,11.950000,10.650000,10.940000,9.654042,147037900
2014-10-20,10.760000,11.820000,10.460000,11.160000,9.971967,125476100
2014-10-27,10.470000,10.670000,9.720000,10.090000,9.015873,149328100
